200226113615980.apd	26-2-2020	11:42:42
Minimum Value	0,000000		
Maximum Value	200,000000		
Mean Value	103,459061		
Standard  Deviation	78,370934		
Nb of Pixels	342,000000		
			
X Position	Y Position	Value	
1312	170	152,000000	
1312	171	154,000000	
1312	172	147,000000	
1312	173	115,000000	
1312	174	76,000000	
1312	175	41,000000	
1312	176	15,000000	
1312	177	2,000000	
1312	178	0,000000	
1312	179	0,000000	
1312	180	0,000000	
1312	181	0,000000	
1313	182	0,000000	
1313	183	2,000000	
1313	184	9,000000	
1313	185	51,000000	
1313	186	94,000000	
1313	187	120,000000	
1313	188	150,000000	
1313	189	153,000000	
1313	190	154,000000	
1313	191	157,000000	
1313	192	158,000000	
1313	193	149,000000	
1313	194	140,000000	
1313	195	95,000000	
1313	196	49,000000	
1313	197	26,000000	
1313	198	6,000000	
1313	199	0,000000	
1313	200	0,000000	
1313	201	0,000000	
1313	202	0,000000	
1313	203	0,000000	
1313	204	0,000000	
1314	205	11,000000	
1314	206	26,000000	
1314	207	74,000000	
1314	208	128,000000	
1314	209	141,000000	
1314	210	148,000000	
1314	211	155,000000	
1314	212	162,000000	
1314	213	163,000000	
1314	214	165,000000	
1314	215	147,000000	
1314	216	116,000000	
1314	217	66,000000	
1314	218	27,000000	
1314	219	11,000000	
1314	220	1,000000	
1314	221	0,000000	
1314	222	0,000000	
1314	223	0,000000	
1314	224	0,000000	
1314	225	0,000000	
1314	226	6,000000	
1315	227	46,000000	
1315	228	89,000000	
1315	229	131,000000	
1315	230	162,000000	
1315	231	170,000000	
1315	232	172,000000	
1315	233	174,000000	
1315	234	173,000000	
1315	235	173,000000	
1315	236	175,000000	
1315	237	175,000000	
1315	238	174,000000	
1315	239	172,000000	
1315	240	169,000000	
1315	241	170,000000	
1315	242	171,000000	
1315	243	172,000000	
1315	244	173,000000	
1315	245	173,000000	
1315	246	175,000000	
1315	247	165,000000	
1315	248	140,000000	
1315	249	81,000000	
1316	250	29,000000	
1316	251	8,000000	
1316	252	0,000000	
1316	253	0,000000	
1316	254	0,000000	
1316	255	0,000000	
1316	256	2,000000	
1316	257	17,000000	
1316	258	42,000000	
1316	259	107,000000	
1316	260	157,000000	
1316	261	169,000000	
1316	262	174,000000	
1316	263	177,000000	
1316	264	178,000000	
1316	265	178,000000	
1316	266	171,000000	
1316	267	126,000000	
1316	268	60,000000	
1316	269	30,000000	
1316	270	6,000000	
1316	271	0,000000	
1316	272	0,000000	
1317	273	0,000000	
1317	274	0,000000	
1317	275	2,000000	
1317	276	6,000000	
1317	277	67,000000	
1317	278	131,000000	
1317	279	155,000000	
1317	280	171,000000	
1317	281	178,000000	
1317	282	178,000000	
1317	283	180,000000	
1317	284	180,000000	
1317	285	169,000000	
1317	286	144,000000	
1317	287	83,000000	
1317	288	22,000000	
1317	289	5,000000	
1317	290	0,000000	
1317	291	0,000000	
1317	292	0,000000	
1317	293	0,000000	
1317	294	2,000000	
1317	295	24,000000	
1318	296	57,000000	
1318	297	114,000000	
1318	298	162,000000	
1318	299	177,000000	
1318	300	180,000000	
1318	301	182,000000	
1318	302	182,000000	
1318	303	182,000000	
1318	304	180,000000	
1318	305	181,000000	
1318	306	180,000000	
1318	307	182,000000	
1318	308	183,000000	
1318	309	182,000000	
1318	310	183,000000	
1318	311	184,000000	
1318	312	184,000000	
1318	313	185,000000	
1318	314	175,000000	
1318	315	110,000000	
1318	316	36,000000	
1318	317	11,000000	
1319	318	0,000000	
1319	319	0,000000	
1319	320	0,000000	
1319	321	0,000000	
1319	322	2,000000	
1319	323	65,000000	
1319	324	131,000000	
1319	325	158,000000	
1319	326	176,000000	
1319	327	184,000000	
1319	328	185,000000	
1319	329	185,000000	
1319	330	186,000000	
1319	331	139,000000	
1319	332	73,000000	
1319	333	40,000000	
1319	334	5,000000	
1319	335	1,000000	
1319	336	0,000000	
1319	337	0,000000	
1319	338	1,000000	
1319	339	20,000000	
1319	340	39,000000	
1320	341	108,000000	
1320	342	162,000000	
1320	343	179,000000	
1320	344	181,000000	
1320	345	182,000000	
1320	346	181,000000	
1320	347	178,000000	
1320	348	157,000000	
1320	349	86,000000	
1320	350	27,000000	
1320	351	6,000000	
1320	352	0,000000	
1320	353	0,000000	
1320	354	2,000000	
1320	355	5,000000	
1320	356	11,000000	
1320	357	79,000000	
1320	358	153,000000	
1320	359	169,000000	
1320	360	177,000000	
1320	361	185,000000	
1320	362	186,000000	
1320	363	188,000000	
1321	364	187,000000	
1321	365	186,000000	
1321	366	188,000000	
1321	367	188,000000	
1321	368	189,000000	
1321	369	188,000000	
1321	370	190,000000	
1321	371	192,000000	
1321	372	192,000000	
1321	373	148,000000	
1321	374	91,000000	
1321	375	50,000000	
1321	376	7,000000	
1321	377	2,000000	
1321	378	1,000000	
1321	379	1,000000	
1321	380	2,000000	
1321	381	77,000000	
1321	382	150,000000	
1321	383	165,000000	
1321	384	183,000000	
1321	385	189,000000	
1322	386	191,000000	
1322	387	191,000000	
1322	388	179,000000	
1322	389	109,000000	
1322	390	30,000000	
1322	391	4,000000	
1322	392	1,000000	
1322	393	1,000000	
1322	394	2,000000	
1322	395	18,000000	
1322	396	47,000000	
1322	397	108,000000	
1322	398	170,000000	
1322	399	190,000000	
1322	400	191,000000	
1322	401	194,000000	
1322	402	192,000000	
1322	403	174,000000	
1322	404	100,000000	
1322	405	41,000000	
1322	406	8,000000	
1322	407	2,000000	
1322	408	1,000000	
1323	409	2,000000	
1323	410	3,000000	
1323	411	81,000000	
1323	412	152,000000	
1323	413	166,000000	
1323	414	183,000000	
1323	415	191,000000	
1323	416	192,000000	
1323	417	192,000000	
1323	418	191,000000	
1323	419	190,000000	
1323	420	196,000000	
1323	421	195,000000	
1323	422	193,000000	
1323	423	192,000000	
1323	424	193,000000	
1323	425	183,000000	
1323	426	158,000000	
1323	427	86,000000	
1323	428	12,000000	
1323	429	4,000000	
1323	430	3,000000	
1323	431	5,000000	
1324	432	11,000000	
1324	433	80,000000	
1324	434	161,000000	
1324	435	184,000000	
1324	436	190,000000	
1324	437	195,000000	
1324	438	193,000000	
1324	439	172,000000	
1324	440	90,000000	
1324	441	34,000000	
1324	442	7,000000	
1324	443	5,000000	
1324	444	5,000000	
1324	445	17,000000	
1324	446	39,000000	
1324	447	101,000000	
1324	448	171,000000	
1324	449	192,000000	
1324	450	195,000000	
1324	451	197,000000	
1324	452	187,000000	
1324	453	123,000000	
1324	454	46,000000	
1325	455	11,000000	
1325	456	4,000000	
1325	457	5,000000	
1325	458	6,000000	
1325	459	57,000000	
1325	460	114,000000	
1325	461	153,000000	
1325	462	184,000000	
1325	463	190,000000	
1325	464	192,000000	
1325	465	192,000000	
1325	466	191,000000	
1325	467	192,000000	
1325	468	191,000000	
1325	469	189,000000	
1325	470	191,000000	
1325	471	193,000000	
1325	472	193,000000	
1325	473	123,000000	
1325	474	36,000000	
1325	475	16,000000	
1325	476	7,000000	
1326	477	8,000000	
1326	478	11,000000	
1326	479	80,000000	
1326	480	161,000000	
1326	481	185,000000	
1326	482	190,000000	
1326	483	196,000000	
1326	484	186,000000	
1326	485	122,000000	
1326	486	48,000000	
1326	487	10,000000	
1326	488	6,000000	
1326	489	5,000000	
1326	490	9,000000	
1326	491	78,000000	
1326	492	163,000000	
1326	493	190,000000	
1326	494	195,000000	
1326	495	200,000000	
1326	496	187,000000	
1326	497	117,000000	
1326	498	38,000000	
1326	499	8,000000	
1327	500	6,000000	
1327	501	9,000000	
1327	502	11,000000	
1327	503	95,000000	
1327	504	171,000000	
1327	505	187,000000	
1327	506	193,000000	
1327	507	195,000000	
1327	508	194,000000	
1327	509	196,000000	
1327	510	193,000000	
1327	511	193,000000	

