200226114612378.apd	26-2-2020	11:48:25
Minimum Value	0,000000		
Maximum Value	116,000000		
Mean Value	49,493828		
Standard  Deviation	37,847607		
Nb of Pixels	324,000000		
			
X Position	Y Position	Value	
1418	682	91,000000	
1418	683	92,000000	
1418	684	90,000000	
1418	685	92,000000	
1418	686	93,000000	
1418	687	95,000000	
1418	688	95,000000	
1418	689	96,000000	
1418	690	92,000000	
1418	691	92,000000	
1418	692	91,000000	
1418	693	90,000000	
1418	694	89,000000	
1418	695	63,000000	
1418	696	25,000000	
1419	697	8,000000	
1419	698	0,000000	
1419	699	0,000000	
1419	700	0,000000	
1419	701	6,000000	
1419	702	14,000000	
1419	703	51,000000	
1419	704	96,000000	
1419	705	102,000000	
1419	706	105,000000	
1419	707	69,000000	
1419	708	31,000000	
1419	709	12,000000	
1419	710	0,000000	
1419	711	0,000000	
1419	712	0,000000	
1419	713	5,000000	
1419	714	11,000000	
1419	715	47,000000	
1419	716	91,000000	
1419	717	97,000000	
1419	718	98,000000	
1419	719	67,000000	
1419	720	36,000000	
1419	721	13,000000	
1419	722	0,000000	
1419	723	0,000000	
1419	724	0,000000	
1419	725	5,000000	
1419	726	8,000000	
1420	727	38,000000	
1420	728	83,000000	
1420	729	115,000000	
1420	730	116,000000	
1420	731	100,000000	
1420	732	87,000000	
1420	733	90,000000	
1420	734	98,000000	
1420	735	92,000000	
1420	736	87,000000	
1420	737	73,000000	
1420	738	47,000000	
1420	739	19,000000	
1420	740	0,000000	
1420	741	0,000000	
1420	742	0,000000	
1420	743	8,000000	
1420	744	20,000000	
1420	745	59,000000	
1420	746	101,000000	
1420	747	96,000000	
1420	748	75,000000	
1420	749	39,000000	
1420	750	8,000000	
1420	751	0,000000	
1420	752	0,000000	
1420	753	3,000000	
1420	754	7,000000	
1420	755	37,000000	
1421	756	89,000000	
1421	757	90,000000	
1421	758	92,000000	
1421	759	70,000000	
1421	760	44,000000	
1421	761	18,000000	
1421	762	0,000000	
1421	763	0,000000	
1421	764	0,000000	
1421	765	17,000000	
1421	766	36,000000	
1421	767	71,000000	
1421	768	109,000000	
1421	769	91,000000	
1421	770	69,000000	
1421	771	71,000000	
1421	772	73,000000	
1421	773	82,000000	
1421	774	94,000000	
1421	775	69,000000	
1421	776	42,000000	
1421	777	19,000000	
1421	778	0,000000	
1421	779	0,000000	
1421	780	1,000000	
1421	781	21,000000	
1421	782	41,000000	
1421	783	72,000000	
1421	784	104,000000	
1422	785	76,000000	
1422	786	32,000000	
1422	787	8,000000	
1422	788	0,000000	
1422	789	0,000000	
1422	790	1,000000	
1422	791	21,000000	
1422	792	53,000000	
1422	793	84,000000	
1422	794	101,000000	
1422	795	68,000000	
1422	796	24,000000	
1422	797	7,000000	
1422	798	3,000000	
1422	799	3,000000	
1422	800	5,000000	
1422	801	29,000000	
1422	802	63,000000	
1422	803	92,000000	
1422	804	108,000000	
1422	805	101,000000	
1422	806	86,000000	
1422	807	87,000000	
1422	808	95,000000	
1422	809	76,000000	
1422	810	45,000000	
1422	811	21,000000	
1422	812	3,000000	
1422	813	2,000000	
1422	814	3,000000	
1423	815	38,000000	
1423	816	79,000000	
1423	817	79,000000	
1423	818	80,000000	
1423	819	47,000000	
1423	820	9,000000	
1423	821	5,000000	
1423	822	6,000000	
1423	823	16,000000	
1423	824	27,000000	
1423	825	57,000000	
1423	826	85,000000	
1423	827	55,000000	
1423	828	15,000000	
1423	829	6,000000	
1423	830	2,000000	
1423	831	13,000000	
1423	832	23,000000	
1423	833	55,000000	
1423	834	100,000000	
1423	835	95,000000	
1423	836	79,000000	
1423	837	85,000000	
1423	838	90,000000	
1423	839	75,000000	
1423	840	59,000000	
1423	841	32,000000	
1423	842	2,000000	
1423	843	5,000000	
1424	844	10,000000	
1424	845	32,000000	
1424	846	71,000000	
1424	847	70,000000	
1424	848	39,000000	
1424	849	19,000000	
1424	850	7,000000	
1424	851	14,000000	
1424	852	24,000000	
1424	853	58,000000	
1424	854	94,000000	
1424	855	72,000000	
1424	856	34,000000	
1424	857	11,000000	
1424	858	6,000000	
1424	859	17,000000	
1424	860	33,000000	
1424	861	59,000000	
1424	862	87,000000	
1424	863	94,000000	
1424	864	89,000000	
1424	865	75,000000	
1424	866	64,000000	
1424	867	39,000000	
1424	868	12,000000	
1424	869	5,000000	
1424	870	7,000000	
1424	871	28,000000	
1424	872	56,000000	
1425	873	44,000000	
1425	874	30,000000	
1425	875	20,000000	
1425	876	11,000000	
1425	877	16,000000	
1425	878	21,000000	
1425	879	46,000000	
1425	880	71,000000	
1425	881	40,000000	
1425	882	7,000000	
1425	883	5,000000	
1425	884	6,000000	
1425	885	44,000000	
1425	886	90,000000	
1425	887	96,000000	
1425	888	102,000000	
1425	889	95,000000	
1425	890	86,000000	
1425	891	89,000000	
1425	892	94,000000	
1425	893	94,000000	
1425	894	92,000000	
1425	895	92,000000	
1425	896	94,000000	
1425	897	94,000000	
1425	898	93,000000	
1425	899	93,000000	
1425	900	97,000000	
1425	901	97,000000	
1425	902	93,000000	
1426	903	96,000000	
1426	904	100,000000	
1426	905	102,000000	
1426	906	101,000000	
1426	907	97,000000	
1426	908	91,000000	
1426	909	81,000000	
1426	910	70,000000	
1426	911	64,000000	
1426	912	62,000000	
1426	913	63,000000	
1426	914	66,000000	
1426	915	62,000000	
1426	916	58,000000	
1426	917	51,000000	
1426	918	44,000000	
1426	919	36,000000	
1426	920	33,000000	
1426	921	38,000000	
1426	922	48,000000	
1426	923	48,000000	
1426	924	43,000000	
1426	925	25,000000	
1426	926	6,000000	
